Rk,Player,Age,Team,Pos,G,GS,MP,PER▼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Nikola Jokić,29,DEN,C,70,70,2571,32.0,.663,.243,.331,9.0,28.2,19.1,44.1,2.4,1.6,12.8,29.5,12.7,3.8,16.4,.307,9.9,3.3,13.3,9.8,MVP-2CPOY-2ASNBA1,jokicni01
2,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,30.7,.637,.263,.404,2.8,12.6,7.8,31.3,2.4,3.0,8.6,34.8,11.9,4.8,16.7,.309,8.9,2.6,11.5,8.9,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01
3,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,30.5,.625,.048,.536,7.3,29.7,19.0,36.0,1.2,3.2,11.2,35.2,7.8,3.7,11.5,.241,6.9,2.5,9.5,6.6,MVP-3DPOY-8ASNBA1,antetgi01
4,Anthony Davis,31,2TM,C,51,51,1706,26.3,.588,.136,.405,9.1,29.1,19.4,18.3,1.7,6.0,9.5,30.4,3.7,3.0,6.7,.188,3.9,1.5,5.4,3.2,AS,davisan02
5,Victor Wembanyama,21,SAS,C,46,46,1527,24.2,.594,.470,.221,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,1.0,2.8,3.8,.118,3.6,2.9,6.5,3.3,AS,wembavi01
6,Luka Dončić,25,2TM,PG,50,50,1769,24.1,.587,.469,.385,2.6,22.6,12.8,36.1,2.5,1.1,13.0,33.9,3.5,2.4,5.9,.160,5.5,1.2,6.7,3.9,,doncilu01
7,Karl-Anthony Towns,29,NYK,C,72,72,2517,23.4,.630,.278,.337,9.8,32.0,21.0,13.8,1.4,1.9,12.1,27.4,6.3,3.8,10.1,.193,3.5,0.1,3.6,3.5,ASNBA3,townska01
8,Domantas Sabonis,28,SAC,C,70,70,2429,22.9,.655,.175,.324,12.3,32.6,22.4,26.0,1.0,1.0,16.5,21.6,7.4,2.7,10.1,.199,4.2,1.1,5.2,4.4,,sabondo01
9,LeBron James,40,LAL,SF,70,70,2444,22.7,.604,.312,.261,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1,4.9,2.8,7.7,.152,4.9,0.7,5.6,4.7,MVP-6CPOY-7ASNBA2,jamesle01
10,Jimmy Butler,35,2TM,SF,55,55,1746,22.4,.626,.174,.657,7.7,10.8,9.2,25.5,2.2,1.0,8.8,20.8,6.6,2.0,8.7,.238,4.0,1.0,4.9,3.0,,butleji01
11,Ivica Zubac,27,LAC,C,80,80,2624,22.3,.641,.000,.251,13.1,30.2,21.8,12.8,1.0,3.4,10.8,19.5,7.0,4.7,11.7,.215,2.3,0.8,3.1,3.4,DPOY-6DEF2,zubaciv01
