Player-additional,Player,USG%,2P_shot,3P_shot,2P%,3P%,ORB%,DRB%,2P.2,3P.2,AST%,TOV%,FTr,FT%,OBPM,DBPM,PER▼
kesslwa01,Walker Kessler,13.7,0.919,0.081,0.706,0.176,16.6,27.1,0.618,1,8.3,15,0.363,0.52,1.1,0.7,20
valanjo01,Jonas Valančiūnas,22.8,0.941,0.059,0.571,0.216,13.3,30.7,0.573,1,17.6,14.6,0.263,0.879,0.8,-0.1,20.8
cartewe01,Wendell Carter Jr.,16,0.678,0.322,0.568,0.234,9.4,23.4,0.757,1,11.5,11.9,0.356,0.737,-2.2,0.9,13.7
claxtni01,Nic Claxton,16.8,0.963,0.037,0.576,0.238,9,22.7,0.673,1,13.7,12,0.271,0.513,-1.1,1.5,16.5
marshna01,Naji Marshall,20,0.694,0.306,0.611,0.275,4.4,14,0.483,1,15.8,12.5,0.225,0.813,-0.3,-0.5,15.1
okongon01,Onyeka Okongwu,17.3,0.784,0.216,0.634,0.324,11.4,24,0.768,1,11.4,10.4,0.316,0.759,1.2,0.2,19
poeltja01,Jakob Poeltl,18.7,0.995,0.005,0.628,0.333,11.7,23.3,0.746,1,14.5,14.7,0.249,0.674,0.7,1.3,20
wilsoja03,Jalen Wilson,16.6,0.416,0.584,0.481,0.337,4,11.4,0.597,1,10.8,10.2,0.266,0.818,-2.6,-1.3,9.5
jonesde02,Derrick Jones Jr.,16.5,0.628,0.372,0.627,0.356,5.7,10.1,0.741,1,4.6,9.3,0.2,0.703,-1,0.7,13.5
yabusgu01,Guerschon Yabusele,16.3,0.513,0.487,0.616,0.38,7.7,16.3,0.725,1,11.6,12.2,0.245,0.725,0.1,-1.1,14.7
vucevni01,Nikola Vučević,22.4,0.691,0.309,0.587,0.402,8.3,25.2,0.758,0.992,17.1,9.7,0.144,0.805,2.5,0.1,20.3
finnedo01,Dorian Finney-Smith,12.3,0.278,0.722,0.545,0.411,5,10.4,0.697,0.992,6.9,11,0.103,0.667,-1.1,0.1,10.1
horfoal01,Al Horford,13.8,0.319,0.681,0.551,0.363,5.2,18.9,0.827,0.991,10.4,8.8,0.082,0.895,0.1,1.1,12.9
greendr01,Draymond Green,15.9,0.517,0.483,0.517,0.325,3.9,19,0.809,0.988,26.2,23.3,0.289,0.687,-2.3,2.8,12.4
niangge01,Georges Niang,17.9,0.34,0.66,0.569,0.406,3.1,14.3,0.833,0.988,8.8,11.3,0.094,0.793,-1.1,-1.2,11.2
murrake02,Keegan Murray,15,0.452,0.548,0.566,0.343,6.3,15.5,0.652,0.987,5.6,6.6,0.088,0.833,-0.8,-0.8,12
wallaca01,Cason Wallace,12.8,0.575,0.425,0.562,0.356,4.1,8.8,0.563,0.986,11.5,10.5,0.076,0.811,-1.5,2.6,12.3
lopezbr01,Brook Lopez,15.8,0.518,0.482,0.636,0.373,5,11.8,0.745,0.986,7.8,9.1,0.178,0.826,0.4,0.4,14.8
alexani01,Nickeil Alexander-Walker,16,0.399,0.601,0.524,0.381,2.9,11.1,0.612,0.986,15,12.9,0.192,0.78,-0.8,0.4,11.6
princta02,Taurean Prince,12.5,0.348,0.652,0.492,0.439,1.8,12.2,0.773,0.986,9.4,13.3,0.093,0.813,-2,0.3,9.8
sabondo01,Domantas Sabonis,21.6,0.825,0.175,0.627,0.417,12.3,32.6,0.63,0.985,26,16.5,0.324,0.754,4.2,1.1,22.9
willizi02,Ziaire Williams,18.2,0.419,0.581,0.509,0.341,4.3,17.5,0.631,0.981,8.5,10.5,0.237,0.821,-2.2,-0.1,11.9
turnemy01,Myles Turner,20.7,0.514,0.486,0.561,0.396,4.7,19.4,0.846,0.981,7.1,11.8,0.293,0.773,0,0.4,16.1
barneha02,Harrison Barnes,15.7,0.473,0.527,0.591,0.433,4.7,10.3,0.586,0.981,8.6,6.1,0.291,0.809,1.7,-1.7,14.9
